Sample.Time,Time,Sample,Colony,Community,Treatment,Repli,C.SH,D.SH,tot.SH,logTot.SH,logC.SH,logD.SH,D.Prp,ID
T0_S1-10,T0,S1-10,S1,DC,C,R1,8.91E-005,1.73E-004,2.62E-004,-3.5813,-4.0501,-3.7616,0.6603,T0_S1-10.P03_Ssid_T0_C_R1.csv
T0_S1-26,T0,S1-26,S1,C,C,R1,1.42E-004,0.00E+000,1.42E-004,-3.8480,-3.8480,NA,0.0000,T0_S1-26.P03_Ssid_T0_C_R1.csv
T0_S2-11,T0,S2-11,S2,D,C,R1,0.00E+000,5.02E-004,5.02E-004,-3.2995,NA,-3.2995,1.0000,T0_S2-11.P03_Ssid_T0_C_R1.csv
T0_S2-22,T0,S2-22,S2,D,C,R1,0.00E+000,4.27E-004,4.27E-004,-3.3700,NA,-3.3700,1.0000,T0_S2-22.P03_Ssid_T0_C_R1.csv
T0_S3-18,T0,S3-18,S3,D,C,R1,1.46E-005,3.47E-004,3.62E-004,-3.4418,-4.8362,-3.4596,0.9597,T0_S3-18.P03_Ssid_T0_C_R1.csv
T0_S3-29,T0,S3-29,S3,D,C,R1,1.73E-005,4.19E-004,4.36E-004,-3.3604,-4.7620,-3.3779,0.9603,T0_S3-29.P03_Ssid_T0_C_R1.csv
T0_S4-12,T0,S4-12,S4,DC,C,R1,4.03E-004,8.40E-004,1.24E-003,-2.9053,-3.3945,-3.0755,0.6758,T0_S4-12.P03_Ssid_T0_C_R1.csv
T0_S4-8,T0,S4-8,S4,DC,C,R1,1.50E-004,3.99E-004,5.49E-004,-3.2604,-3.8235,-3.3991,0.7266,T0_S4-8.P03_Ssid_T0_C_R1.csv
T0_S5-24,T0,S5-24,S5,D,C,R1,2.93E-006,5.17E-004,5.20E-004,-3.2841,-5.5332,-3.2865,0.9944,T0_S5-24.P03_Ssid_T0_C_R1.csv
T0_S5-9,T0,S5-9,S5,D,C,R1,1.07E-004,2.55E-003,2.65E-003,-2.5762,-3.9698,-2.5941,0.9596,T0_S5-9.P03_Ssid_T0_C_R1.csv
T0_S6-20,T0,S6-20,S6,D,C,R1,0.00E+000,1.99E-003,1.99E-003,-2.7009,NA,-2.7009,1.0000,T0_S6-20.P03_Ssid_T0_C_R1.csv
T0_S6-5,T0,S6-5,S6,D,C,R1,4.61E-006,8.71E-004,8.76E-004,-3.0576,-5.3359,-3.0599,0.9947,T0_S6-5.P03_Ssid_T0_C_R1.csv
T0_S1-13,T0,S1-13,S1,C,C,R2,6.09E-005,2.24E-006,6.31E-005,-4.1998,-4.2155,-5.6500,0.0355,T0_S1-13.P14_Ssid_T0_C_R2.csv
T0_S1-23,T0,S1-23,S1,DC,C,R2,7.05E-006,4.98E-005,5.68E-005,-4.2456,-5.1518,-4.3032,0.8759,T0_S1-23.P14_Ssid_T0_C_R2.csv
T0_S2-10,T0,S2-10,S2,D,C,R2,4.17E-007,2.97E-004,2.97E-004,-3.5268,-6.3797,-3.5274,0.9986,T0_S2-10.P14_Ssid_T0_C_R2.csv
T0_S2-2,T0,S2-2,S2,D,C,R2,0.00E+000,3.66E-004,3.66E-004,-3.4363,NA,-3.4363,1.0000,T0_S2-2.P14_Ssid_T0_C_R2.csv
T0_S3-20,T0,S3-20,S3,D,C,R2,2.76E-005,5.69E-004,5.97E-004,-3.2240,-4.5594,-3.2446,0.9538,T0_S3-20.P14_Ssid_T0_C_R2.csv
T0_S3-4,T0,S3-4,S3,DC,C,R2,1.37E-004,4.22E-004,5.59E-004,-3.2525,-3.8641,-3.3743,0.7554,T0_S3-4.P14_Ssid_T0_C_R2.csv
T0_S4-24,T0,S4-24,S4,DC,C,R2,1.57E-004,4.00E-004,5.57E-004,-3.2544,-3.8053,-3.3979,0.7187,T0_S4-24.P14_Ssid_T0_C_R2.csv
T0_S4-3,T0,S4-3,S4,DC,C,R2,3.47E-004,5.61E-004,9.08E-004,-3.0418,-3.4594,-3.2510,0.6177,T0_S4-3.P14_Ssid_T0_C_R2.csv
T0_S5-10,T0,S5-10,S5,D,C,R2,1.40E-005,2.04E-004,2.18E-004,-3.6614,-4.8530,-3.6903,0.9357,T0_S5-10.P19_Ssid_T0_N_R2.csv
T0_S5-15,T0,S5-15,S5,D,C,R2,2.15E-007,3.48E-004,3.48E-004,-3.4579,-6.6666,-3.4582,0.9994,T0_S5-15.P14_Ssid_T0_C_R2.csv
T0_S6-23,T0,S6-23,S6,D,C,R2,0.00E+000,9.68E-004,9.68E-004,-3.0141,NA,-3.0141,1.0000,T0_S6-23.P16_Ssid_T2_C_R2.csv
T0_S6-26,T0,S6-26,S6,D,C,R2,3.70E-007,9.96E-004,9.96E-004,-3.0016,-6.4316,-3.0018,0.9996,T0_S6-26.P45_Ssid_ReRuns.csv
T0_S1-21,T0,S1-21,S1,D,CO2,R1,9.64E-006,2.23E-004,2.32E-004,-3.6336,-5.0160,-3.6520,0.9585,T0_S1-21.P18_Ssid_T1_N_R1.csv
T0_S1-29,T0,S1-29,S1,D,CO2,R1,1.42E-006,8.94E-005,9.09E-005,-4.0416,-5.8475,-4.0485,0.9844,T0_S1-29.P18_Ssid_T1_N_R1.csv
T0_S2-19,T0,S2-19,S2,D,CO2,R1,1.60E-007,1.69E-004,1.69E-004,-3.7726,-6.7947,-3.7730,0.9990,T0_S2-19.P18_Ssid_T1_N_R1.csv
T0_S2-6,T0,S2-6,S2,D,CO2,R1,0.00E+000,2.19E-004,2.19E-004,-3.6598,NA,-3.6598,1.0000,T0_S2-6.P18_Ssid_T1_N_R1.csv
T0_S3-22,T0,S3-22,S3,D,CO2,R1,2.42E-005,4.71E-004,4.95E-004,-3.3051,-4.6158,-3.3269,0.9511,T0_S3-22.P19_Ssid_T0_N_R2.csv
T0_S3-31,T0,S3-31,S3,D,CO2,R1,1.49E-005,2.34E-004,2.49E-004,-3.6046,-4.8280,-3.6314,0.9402,T0_S3-31.P19_Ssid_T0_N_R2.csv
T0_S4-23,T0,S4-23,S4,DC,CO2,R1,2.03E-004,4.15E-004,6.19E-004,-3.2085,-3.6918,-3.3815,0.6714,T0_S4-23.P20_Ssid_T1_N_R2.csv
