Core,Sample,Colony,Community,Treatment,Repli,C.SH_2,D.SH_2,tot.SH_2,logTot.SH_2,logC.SH_2,logD.SH_2,D.Prp_2,D.Prop.t_2
S1-10,T2_S1-10,S1,C,C,R1,0.0000195,0,0.0000195,-4.7092,-4.7092,NA,0,0
S1-13,T2_S1-13,S1,C,C,R2,0.0000391,0.000000912,0.00004,-4.398,-4.408,-6.0401,0.0228,0.1515764443
S1-23,T2_S1-23,S1,DC,C,R2,0.00000685,0.0000229,0.0000298,-4.5263,-5.1641,-4.64,0.7697,1.0702603632
S1-26,T2_S1-26,S1,C,C,R1,0.0000321,0,0.0000321,-4.493,-4.493,NA,0,0
S2-10,T2_S2-10,S2,D,C,R2,0.000000344,0.000175,0.000175,-3.7559,-6.464,-3.7567,0.998,1.5260600467
S2-11,T2_S2-11,S2,D,C,R1,0,0.000074,0.000074,-4.131,NA,-4.131,1,1.5707963268
S2-2,T2_S2-2,S2,D,C,R2,0,0.000368,0.000368,-3.4341,NA,-3.4341,1,1.5707963268
S2-22,T2_S2-22,S2,D,C,R1,0,0.000297,0.000297,-3.5279,NA,-3.5279,1,1.5707963268
S3-18,T2_S3-18,S3,C,C,R1,0.00017,0,0.00017,-3.7698,-3.7698,NA,0,0
S3-20,T2_S3-20,S3,D,C,R2,0.0000778,0.000826,0.000904,-3.044,-4.1091,-3.0831,0.9139,1.2729855922
S3-29,T2_S3-29,S3,DC,C,R1,0.0000341,0.0000526,0.0000867,-4.0622,-4.4677,-4.2791,0.6069,0.8931297937
S3-4,T2_S3-4,S3,DC,C,R2,0.00044,0.000106,0.000559,-3.2526,-3.357,-3.9739,0.19,0.4510268118
S4-12,T2_S4-12,S4,DC,C,R1,0.0000353,0.0000561,0.0000914,-4.039,-4.4527,-4.2507,0.6142,0.9006151258
S4-24,T2_S4-24,S4,DC,C,R2,0.000292,0.000182,0.000474,-3.3242,-3.5348,-3.7395,0.3843,0.6686399159
S4-3,T2_S4-3,S4,DC,C,R2,0.000308,0.0000945,0.000406,-3.392,-3.5116,-4.0246,0.233,0.5037358879
S4-8,T2_S4-8,S4,C,C,R1,0.000152,0,0.000152,-3.8172,-3.8172,NA,0,0
S5-10,T2_S5-10,S5,DC,C,R2,0.000114,0.000588,0.000702,-3.1538,-3.9448,-3.2305,0.8382,1.1568300838
S5-15,T2_S5-15,S5,D,C,R2,0.0000118,0.000496,0.000508,-3.294,-4.9293,-3.3041,0.9768,1.4178856766
S5-24,T2_S5-24,S5,D,C,R1,0,0.000815,0.000815,-3.0887,NA,-3.0887,1,1.5707963268
S5-9,T2_S5-9,S5,DC,C,R1,0,0.000113,0.000265,-3.5767,NA,-3.9477,0.4256,0.7107208374
S6-20,T2_S6-20,S6,D,C,R1,0,0.00303,0.00303,-2.5187,NA,-2.5187,1,1.5707963268
S6-23,T2_S6-23,S6,D,C,R2,0,0.00155,0.00155,-2.8094,NA,-2.8094,1,1.5707963268
S6-26,T2_S6-26,S6,D,C,R2,0.00000209,0.000647,0.000649,-3.1878,-5.6799,-3.1892,0.9968,1.5141975709
S6-5,T2_S6-5,S6,D,C,R1,0,0.00246,0.00246,-2.6088,NA,-2.6088,1,1.5707963268
S1-20,T2_S1-20,S1,DC,CO2,R2,0.0000084,0.0000319,0.0000404,-4.3941,-5.0756,-4.4956,0.7918,1.096975632
S1-21,T2_S1-21,S1,DC,CO2,R1,0.000024,0.0000591,0.0000831,-4.0804,-4.6206,-4.2281,0.7117,1.0039956831
S1-29,T2_S1-29,S1,D,CO2,R1,0.00000703,0.000072,0.0000791,-4.102,-5.1529,-4.1425,0.9111,1.268030854
S1-3,T2_S1-3,S1,C,CO2,R2,0.0000316,0.000000949,0.0000325,-4.4877,-4.5006,-6.0226,0.0292,0.1717228125
S2-19,T2_S2-19,S2,D,CO2,R1,0.00000113,0.000398,0.000399,-3.3994,-5.947,-3.4006,0.9972,1.5178565757
S2-27,T2_S2-27,S2,D,CO2,R2,0,0.000301,0.000301,-3.5218,NA,-3.5218,1,1.5707963268
S2-5,T2_S2-5,S2,D,CO2,R2,0,0.000306,0.000306,-3.5146,NA,-3.5146,1,1.5707963268
S2-6,T2_S2-6,S2,D,CO2,R1,0,0.000275,0.000275,-3.5608,NA,-3.5608,1,1.5707963268
S3-15,T2_S3-15,S3,DC,CO2,R2,0.0000471,0.000146,0.000193,-3.7149,-4.3266,-3.8367,0.7555,1.0535720366
S3-22,T2_S3-22,S3,DC,CO2,R1,0.0000619,0.000137,0.000199,-3.7021,-4.2081,-3.8644,0.6881,0.9782439522
S3-24,T2_S3-24,S3,DC,CO2,R2,0.0000465,0.000197,0.000243,-3.6138,-4.3324,-3.7059,0.8088,1.1182419184
S3-31,T2_S3-31,S3,DC,CO2,R1,0.0000415,0.000201,0.000243,-3.6144,-4.3817,-3.6958,0.8291,1.1446108224
S4-20,T2_S4-20,S4,DC,CO2,R2,0.0000929,0.000611,0.000704,-3.1523,-4.0318,-3.2138,0.868,1.1989694846
S4-23,T2_S4-23,S4,DC,CO2,R1,0.0000958,0.0000788,0.000175,-3.7579,-4.0184,-4.1037,0.4511,0.7364198725
S4-5,T2_S4-5,S4,DC,CO2,R1,0.000135,0.000108,0.000243,-3.6149,-3.8694,-3.9681,0.4434,0.72867658
